ID,LTV,CLTV,Orig_Bal,Orig_Term,Orig_Rate,State,FICO,Occupancy,Type
3581,95,95,194750,360,8.45,IL,625,IO,ARM
3582,83.41,83.41,275250,360,6.625,CA,713,OO,Fix
3583,75,75,94500,360,8.75,AZ,535,OO,ARM
3584,80,80,108000,360,8.175,MI,590,OO,ARM
3585,65,65,377000,360,8.3,CA,505,OO,ARM
3586,89.64,89.64,199000,480,8.65,NJ,552,OO,ARM
3587,83.66,83.66,191000,480,6.45,FL,630,OO,ARM
3588,47.66,47.66,61000,360,9.7,PA,520,OO,ARM
3589,75,75,318750,480,7.65,NJ,601,OO,ARM
3590,90,98.28,168300,360,8.35,PA,568,OO,ARM
3591,90,90,346500,480,9.7,CA,697,IO,ARM
3592,95,100,189050,360,9.2,AZ,658,OO,ARM
3593,80,100,463200,480,8.45,CA,652,OO,ARM
3594,80,100,476000,360,7.8,CA,642,OO,ARM
3595,90,90,143910,360,8,IL,693,IO,ARM
